날짜,강수량(mm)
2019-01-01,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-05,
2019-01-06,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-12,
2019-01-13,
2019-01-14,
2019-01-15,0
2019-01-16,0
2019-01-17,0
2019-01-18,
2019-01-19,
2019-01-20,
2019-01-21,0
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,0
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,0.3
2019-02-02,0
2019-02-03,16
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,0.5
2019-02-08,
2019-02-09,
2019-02-10,
2019-02-11,
2019-02-12,0
2019-02-13,
2019-02-14,
2019-02-15,2.2
2019-02-16,0.2
2019-02-17,
2019-02-18,
2019-02-19,4.6
2019-02-20,0
2019-02-21,
2019-02-22,
2019-02-23,
2019-02-24,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-09,
2019-03-10,
2019-03-11,0
2019-03-12,0
2019-03-13,0
2019-03-14,0
2019-03-15,3.5
2019-03-16,
2019-03-17,
2019-03-18,
2019-03-19,
2019-03-20,16.5
2019-03-21,3.3
2019-03-22,
2019-03-23,1.7
2019-03-24,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-03-30,1.8
2019-03-31,0
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,0
2019-04-06,0.8
2019-04-07,
2019-04-08,
2019-04-09,17.4
2019-04-10,5.6
2019-04-11,
2019-04-12,
2019-04-13,
2019-04-14,1.7
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,0
2019-04-19,
2019-04-20,1.2
2019-04-21,0.3
2019-04-22,
2019-04-23,0
2019-04-24,4.1
2019-04-25,11.3
2019-04-26,4.9
2019-04-27,
2019-04-28,0
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-04,
2019-05-05,
2019-05-06,0
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-11,
2019-05-12,
2019-05-13,0
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,0
2019-05-19,22
2019-05-20,8.7
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-25,
2019-05-26,
2019-05-27,7.1
2019-05-28,
2019-05-29,
2019-05-30,0
2019-05-31,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,7.5
2019-06-07,35.3
2019-06-08,
2019-06-09,2.5
2019-06-10,9.5
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,2.1
2019-06-16,
2019-06-17,0
2019-06-18,13.8
2019-06-19,0.2
2019-06-20,
2019-06-21,0.2
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,0
2019-06-27,1.4
2019-06-28,0
2019-06-29,1.5
2019-06-30,0
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,0
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,8.5
2019-07-11,2.9
2019-07-12,
2019-07-13,0
2019-07-14,
2019-07-15,7.7
2019-07-16,6.3
2019-07-17,0.7
2019-07-18,
2019-07-19,0
2019-07-20,1.1
2019-07-21,6.2
2019-07-22,0.1
2019-07-23,
2019-07-24,1
2019-07-25,9.7
2019-07-26,60
2019-07-27,0.6
2019-07-28,25.6
2019-07-29,0.5
2019-07-30,1.2
2019-07-31,62.3
2019-08-01,26.9
2019-08-02,
2019-08-03,3
2019-08-04,8.6
2019-08-05,
2019-08-06,
2019-08-07,8
2019-08-08,0
2019-08-09,
2019-08-10,
2019-08-11,6.7
2019-08-12,56.2
2019-08-13,6.4
2019-08-14,
2019-08-15,16.2
2019-08-16,0.1
2019-08-17,0
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,1.3
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,20
2019-08-28,
2019-08-29,36.9
2019-08-30,0.2
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,0
2019-09-04,22.7
2019-09-05,36.4
2019-09-06,2.4
2019-09-07,2.8
2019-09-08,0
2019-09-09,0
2019-09-10,63.2
2019-09-11,7.6
2019-09-12,3.9
2019-09-13,0.1
2019-09-14,0.3
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,0.4
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,23.1
2019-10-03,4.6
2019-10-04,
2019-10-05,0.6
2019-10-06,
2019-10-07,25.4
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,0
2019-10-26,
2019-10-27,
2019-10-28,1.7
2019-10-29,0.1
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,11.8
2019-11-11,1.1
2019-11-12,
2019-11-13,7.5
2019-11-14,
2019-11-15,18.8
2019-11-16,
2019-11-17,21.1
2019-11-18,14.7
2019-11-19,0
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,3.8
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,3.3
2019-12-02,
2019-12-03,0.6
2019-12-04,0
2019-12-05,
2019-12-06,
2019-12-07,0.1
2019-12-08,
2019-12-09,0
2019-12-10,1.7
2019-12-11,0.2
2019-12-12,
2019-12-13,1
2019-12-14,0
2019-12-15,
2019-12-16,
2019-12-17,9.8
2019-12-18,
2019-12-19,0
2019-12-20,0
2019-12-21,0.6
2019-12-22,0.3
2019-12-23,2.9
2019-12-24,
2019-12-25,
2019-12-26,0.3
2019-12-27,
2019-12-28,
2019-12-29,1.4
2019-12-30,0.4
2019-12-31,0
2020-01-01,0.1
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,1.8
2020-01-07,46.3
2020-01-08,11.6
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,0.6
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,0.1
2020-01-28,0
2020-01-29,
2020-01-30,
2020-01-31,0
2020-02-01,
2020-02-02,
2020-02-03,0
2020-02-04,1.7
2020-02-05,
2020-02-06,
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,
2020-02-12,6.7
2020-02-13,
2020-02-14,
2020-02-15,2
2020-02-16,13.4
2020-02-17,1
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,4.2
2020-02-22,3.1
2020-02-23,
2020-02-24,
2020-02-25,16.6
2020-02-26,0
