날짜,일교차
2019-01-01,7.6
2019-01-02,9
2019-01-03,11.6
2019-01-04,10.3
2019-01-05,6.6
2019-01-06,9
2019-01-07,9.3
2019-01-08,7.7
2019-01-09,10.7
2019-01-10,7.5
2019-01-11,7.6
2019-01-12,8.6
2019-01-13,10.6
2019-01-14,7.7
2019-01-15,9.8
2019-01-16,9
2019-01-17,7.2
2019-01-18,11.3
2019-01-19,8.5
2019-01-20,9.5
2019-01-21,10.9
2019-01-22,10.4
2019-01-23,7.8
2019-01-24,11.1
2019-01-25,6.4
2019-01-26,8.9
2019-01-27,11.7
2019-01-28,6.9
2019-01-29,12.6
2019-01-30,9.4
2019-01-31,8.5
2019-02-01,10.2
2019-02-02,9.3
2019-02-03,2.9
2019-02-04,6.3
2019-02-05,13.7
2019-02-06,9.2
2019-02-07,14.5
2019-02-08,8.9
2019-02-09,6.7
2019-02-10,7.2
2019-02-11,9.5
2019-02-12,7.8
2019-02-13,8.2
2019-02-14,12.2
2019-02-15,3.8
2019-02-16,6.6
2019-02-17,11.4
2019-02-18,10.6
2019-02-19,2.8
2019-02-20,4.6
2019-02-21,11.6
2019-02-22,12.4
2019-02-23,14
2019-02-24,12.5
2019-02-25,8.9
2019-02-26,13.5
2019-02-27,9.3
2019-02-28,10.8
2019-03-01,11.8
2019-03-02,13.4
2019-03-03,13.6
2019-03-04,11.3
2019-03-05,7.3
2019-03-06,6.7
2019-03-07,9.6
2019-03-08,12.8
2019-03-09,15.3
2019-03-10,8.6
2019-03-11,6.5
2019-03-12,8.2
2019-03-13,8.9
2019-03-14,11.7
2019-03-15,9.7
2019-03-16,9
2019-03-17,9.8
2019-03-18,13
2019-03-19,13.3
2019-03-20,7.5
2019-03-21,9.2
2019-03-22,9
2019-03-23,8.6
2019-03-24,10.5
2019-03-25,8.6
2019-03-26,10.2
2019-03-27,7.3
2019-03-28,9
2019-03-29,9.6
2019-03-30,4.9
2019-03-31,5.8
2019-04-01,11
2019-04-02,11.7
2019-04-03,11.7
2019-04-04,12.7
2019-04-05,10.2
2019-04-06,6.3
2019-04-07,14.7
2019-04-08,9.6
2019-04-09,9.2
2019-04-10,5.5
2019-04-11,11.4
2019-04-12,12.9
2019-04-13,11.7
2019-04-14,6.7
2019-04-15,14.2
2019-04-16,15.8
2019-04-17,12.7
2019-04-18,5.8
2019-04-19,10.1
2019-04-20,9.4
2019-04-21,8
2019-04-22,17.5
2019-04-23,10.2
2019-04-24,10.1
2019-04-25,7.8
2019-04-26,3.7
2019-04-27,14.1
2019-04-28,6.7
2019-04-29,9
2019-04-30,13.5
2019-05-01,11
2019-05-02,14.7
2019-05-03,16
2019-05-04,15.4
2019-05-05,12.9
2019-05-06,10
2019-05-07,13.5
2019-05-08,11.2
2019-05-09,11.2
2019-05-10,16.5
2019-05-11,15.1
2019-05-12,14.2
2019-05-13,7.3
2019-05-14,14
2019-05-15,13.2
2019-05-16,13.3
2019-05-17,10.7
2019-05-18,6.8
2019-05-19,3.7
2019-05-20,7.2
2019-05-21,12.1
2019-05-22,14.2
2019-05-23,14.2
2019-05-24,17.2
2019-05-25,10.2
2019-05-26,12.5
2019-05-27,8
2019-05-28,12.7
2019-05-29,13.2
2019-05-30,9.9
2019-05-31,7.2
2019-06-01,8.9
2019-06-02,13.7
2019-06-03,13.5
2019-06-04,11.4
2019-06-05,11.8
2019-06-06,6.5
2019-06-07,7.7
2019-06-08,11.6
2019-06-09,9.4
2019-06-10,6.2
2019-06-11,10.6
2019-06-12,10.3
2019-06-13,12.2
2019-06-14,9.3
2019-06-15,9.5
2019-06-16,11.1
2019-06-17,8.1
2019-06-18,7.8
2019-06-19,6.5
2019-06-20,8
2019-06-21,6.7
2019-06-22,12.9
2019-06-23,11.9
2019-06-24,10
2019-06-25,13.3
2019-06-26,8.8
2019-06-27,9.3
2019-06-28,6.7
2019-06-29,8.1
2019-06-30,7.6
2019-07-01,8.3
2019-07-02,9.3
2019-07-03,6.2
2019-07-04,12.8
2019-07-05,14.8
2019-07-06,11.5
2019-07-07,9.8
2019-07-08,9.8
2019-07-09,10.3
2019-07-10,8
2019-07-11,6.4
2019-07-12,8.7
2019-07-13,7.6
2019-07-14,10.4
2019-07-15,5.3
2019-07-16,7.4
2019-07-17,6.9
2019-07-18,8.8
2019-07-19,12.2
2019-07-20,6.8
2019-07-21,2.8
2019-07-22,6.8
2019-07-23,8.5
2019-07-24,2
2019-07-25,1.8
2019-07-26,2.2
2019-07-27,8.5
2019-07-28,3.2
2019-07-29,4.4
2019-07-30,4.5
2019-07-31,3.5
2019-08-01,6.6
2019-08-02,8.4
2019-08-03,10.4
2019-08-04,9.4
2019-08-05,10.3
2019-08-06,8.9
2019-08-07,6.4
2019-08-08,6.8
2019-08-09,8.6
2019-08-10,9.9
2019-08-11,9.4
2019-08-12,3.7
2019-08-13,10.2
2019-08-14,9.8
2019-08-15,4.7
