³¯Â¥,½Â¿ëÃÑ°è,½ÂÇÕÃÑ°è,È­¹°ÃÑ°è
2019-01,129603,14595,144481
2019-02,129469,14933,144684
2019-03,129817,14628,144732
2019-04,129685,14431,144401
2019-05,129553,14112,143952
2019-06,129484,14100,143864
2019-07,129568,14039,143887
2019-08,129861,13903,144047
2019-09,130076,13941,144307
2019-10,130133,13898,144319
2019-11,130302,13859,144441
2019-12,130315,13869,144465
2020-01,130622,13822,144725
2020-02,130355,13302,143939
2020-03,130358,13121,143761
2020-04,130415,12963,143661
2020-05,130755,12806,143851
2020-06,131231,13000,144526
2020-07,131572,12969,144838
2020-08,131795,12934,145025
2020-09,132099,12946,145340
2020-10,132203,12896,145396
2020-11,132334,12940,145570
2020-12,132134,12840,145267
2021-01,132055,12680,145029
2021-02,131995,12034,144327
2021-03,132157,12211,144667
2021-04,132105,12308,144711
2021-05,132216,12179,144695
2021-06,132148,12073,144526
2021-07,132133,11923,144361
2021-08,131949,11903,144162
2021-09,131901,12362,144573
2021-10,131917,12975,145204
2021-11,132088,13399,145798
2021-12,132057,13505,145874
2022-01,132148,13415,145854
2022-02,132080,13222,145590
2022-03,132170,13583,146040
2022-04,132190,13564,146038
2022-05,132133,13562,145978
2022-06,132111,13562,145961
2022-07,132097,13581,145970
2022-08,132084,13787,146163
2022-09,132258,13852,146402
2022-10,132820,14332,147448
2022-11,133198,14433,147937
2022-12,133556,14789,148659
2023-01,133862,14660,148825
2023-02,133943,14150,148391
2023-03,134232,14187,148719
2023-04,134387,13741,148429
2023-05,134430,13652,148384
2023-06,134681,13666,148653
2023-07,134743,13618,148670
2023-08,134576,13443,148325
2023-09,134586,13452,148342
2023-10,134548,13398,148248
2023-11,134379,13364,148048
2023-12,134195,13317,147818
2024-01,134199,13277,147781
2024-02,134067,13245,147617
2024-03,134001,13373,147678
2024-04,133910,13396,147608
2024-05,133829,13235,147367
2024-06,133784,13102,147189
2024-07,133636,13018,146958
2024-08,133574,12913,146792
2024-09,133614,12842,146763
2024-10,133537,12738,146584
